Crash Type,Report Made?,Date / Time,Case Number,District,Crash Location,Lanes Of Traffic,Signal Present?,Speed Limit Of Road (MPH),Road Type,Synopsis,Ticket/Arrest?,Citation To,Pedestrian Age,Pedestrian Gender,Pedestrian City Of Residence,Pedestrian Zip Code,Biker Age,Biker Gender,Biker City of Residence,Biker Zip Code,Driver Age,Driver Gender,Driver City Of Residence,Driver Zip Code,Injury to Pedestrian?,Level of Injury to Pedestrian,Pedestrian to Hospital?,Injury to Biker?,Level of Injury to Biker,Biker to Hospital?,Crash Lat/Long Location,Count,District Council - Map,Council Ward
Pedestrian,Yes,04/22/2016 02:24:00 PM,16-077049,Western District,Snelling Ave N & Spruce Tree,,,,,,Yes,Pedestrian,40,Male,St. Paul,55104,,,,,24,Male,St. Paul,55104,Yes,Possible Injury,Yes,,,,"(44.954242, -93.166142)",1,17,7
Pedestrian,Yes,04/22/2016 06:24:00 PM,16-077240,Eastern District,Minnehaha & Pederson,,,,,,No,None,8,Female,West St. Paul,55118,,,,,54,Male,white bear lake,55110,Yes,Suspected Minor Injury,No,,,,"(44.963218, -93.011226)",1,14,2
Pedestrian,Yes,04/23/2016 03:00:00 PM,16-077879,Western District,1239 University Av W,,,,,,No,None,47,Male,St. Paul,55101,,,,,23,Female,Staples,56479,Yes,Possible Injury,No,,,,"(44.955922, -93.152559)",1,4,4
Pedestrian,No,04/23/2016 10:08:00 PM,16-078156,Western District,Pascal St N & University Av W,,,,,,No,None,,Unknown,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,No,None,No,,,,"(44.955612, -93.161903)",1,17,7
Pedestrian,Yes,04/24/2016 02:06:00 PM,16-078526,Eastern District,Suburban & Ruth,,,,,,No,None,70,Male,St. Paul,55119,,,,,18,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,,,,"(44.949526, -93.015115)",1,16,2
Pedestrian,Yes,04/26/2016 11:01:00 PM,16-080265,Eastern District,Forest St & Minnehaha Ave E,2,Yes,30,Municipal Aid Street,,No,None,55,Male,St. Paul,55106,,,,,26,Male,St. Paul,55117,Yes,Suspected Minor Injury,Yes,,,,"(44.963048, -93.060975)",1,15,1
Pedestrian,Yes,04/28/2016 12:24:00 AM,16-081079,Eastern District,Payne Ave & Case St,,,,,,No,None,54,Male,St. Paul,55117,,,,,52,Male,Alexandria,56308,Yes,Possible Injury,Yes,,,,"(44.970254, -93.073533)",1,13,1
Pedestrian,Yes,05/02/2016 09:10:00 AM,16-084122,Western District,Dale St N & University Ave W,,,,County - State Aid Highway,,Yes,Driver,57,Male,St. Paul,55104,,,,,39,Female,St. Paul,55119,Yes,Suspected Serious Injury,Yes,,,,"(44.955649, -93.126216)",1,9,7
Pedestrian,Yes,05/02/2016 05:25:00 PM,16-084521,Western District,Thomas Ave W & Dale Street,,,,City Street,,No,None,13,Male,St. Paul,55104,,,,,23,Female,St. Paul,55104,Yes,Suspected Minor Injury,No,,,,"(44.959456, -93.128216)",1,10,7
Bike,No,05/02/2016 07:56:00 PM,16-084647,Western District,Snelling Ave N & University Ave W,,,,State - Trunk Highway,,No,None,,,,,63,Male,Spring Lake Park,55432,47,Female,St. Paul,55105,,,,Yes,Suspected Minor Injury,No,"(44.955599, -93.166911)",1,17,7
Bike,Yes,05/03/2016 07:40:00 AM,16-084902,Western District,Ford Pkwy & Woodlawn,,,,County - State Aid Highway,,No,None,,,,,24,Female,Minneapolis,55406,28,Female,St. Paul,55116,,,,Yes,Possible Injury,No,"(44.919727, -93.195398)",1,6,6
Pedestrian,Yes,05/03/2016 05:38:00 PM,16-085351,Central District,Smith Ave N & Walnut St,,,,City Street,,Yes,Driver,46,Female,Inver Grove Heights,55076,,,,,67,Female,St. Paul,55105,Yes,Suspected Minor Injury,Yes,,,,"(44.943344, -93.106426)",1,11,5
Pedestrian,Yes,05/03/2016 06:14:00 PM,16-085386,Western District,1300 W University Ave,,,,Private Parking Lot,,No,None,49,Female,St. Paul,55102,,,,,29,Female,St. Paul,55102,Yes,Possible Injury,No,,,,"(44.953311, -93.155535)",1,17,7
Bike,No,05/04/2016 06:24:00 AM,16-085663,Central District,7th St W & Chestnut St,,,,State - Trunk Highway,,No,None,,,,,52,Male,St. Paul,Unknown,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,No,"(44.943409, -93.104089)",1,11,5
Pedestrian,Yes,05/05/2016 07:12:00 AM,16-086524,Western District,Maryland Ave W & Dale St N,,,,County - State Aid Highway,,No,None,15,Male,St. Paul,55117,,,,,50,Male,St. Paul,55119,Yes,Suspected Serious Injury,Yes,,,,"(44.977362, -93.126354)",1,2,3
Bike,Yes,05/05/2016 04:47:00 PM,16-086896,Western District,Hamline Ave N & Lafond,,,,City Street,,No,None,,,,,76,Male,Minneapolis,55413,41,Male,St. Paul,55103,,,,Yes,Suspected Minor Injury,Yes,"(44.960229, -93.156831)",1,4,4
Pedestrian,No,05/09/2016 01:22:00 PM,16-089997,Western District,1490 University Ave W,,,,State - Trunk Highway,,No,None,,Unknown,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,,,,"(44.954249, -93.162916)",1,17,7
Pedestrian,Yes,05/09/2016 03:48:00 PM,16-090083,Central District,Wabasha St N & 5th Street,,,,City Street,,No,None,18,Female,St. Paul,55105,,,,,24,Female,St. Paul,55101,No,None,No,,,,"(44.945691, -93.094454)",1,12,5
Bike,No,05/10/2016 12:28:00 PM,16-090665,Central District,Rice St  & Atwater St,,,,County - State Aid Highway,,No,None,,,,,,Unknown,Unknown,Unknown,54,Male,Columbia Heights,55421,,,,No,None,No,"(44.966614, -93.105939)",1,3,7
Pedestrian,Yes,05/11/2016 04:40:00 PM,16-091652,Central District,7th St W & St. Clair,,,,City Street,,No,None,13,Male,St. Paul,55102,,,,,16,Female,St. Paul,55107,Yes,Suspected Serious Injury,Yes,,,,"(44.934116, -93.117348)",1,11,5
Bike,Yes,05/14/2016 05:55:00 PM,16-094067,Eastern District,Johnson Pkwy & York,,,,County - State Aid Highway,,No,None,,,,,22,Male,St. Paul,55117,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,No,"(44.968754, -93.044999)",1,15,1
Pedestrian,Yes,05/17/2016 04:19:00 PM,16-096238,Central District,Park St & Maryland Ave,,,,County - State Aid Highway,,No,None,2,Male,St. Paul,55117,,,,,,Unknown,Unknown,Unknown,No,None,No,,,,"(44.977386, -93.103715)",1,3,3
Bike,Yes,05/17/2016 05:22:00 PM,16-096266,Western District,Cleveland Ave N & Iglehart,,,,County - State Aid Highway,,Yes,Driver,,,,,25,Female,Minneapolis,55407,22,Male,Eagan,55123,,,,Yes,Suspected Minor Injury,Yes,"(44.94944, -93.187351)",1,17,4
Bike,No,05/17/2016 08:21:00 PM,16-096446,Western District,Arundel Street & Charles Ave,,,,City Street,,No,None,,,,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.957565, -93.1187)",1,10,7
Bike,Yes,05/18/2016 07:48:00 AM,16-096714,Western District,Marshall Ave & Cleveland,,,,County - State Aid Highway,,Yes,Driver,,,,,33,Male,St. Paul,55102,39,Male,Richfield,55419,,,,Yes,Suspected Minor Injury,No,"(44.948381, -93.187347)",1,17,4
Pedestrian,No,05/18/2016 12:05:00 PM,16-096852,Central District,477 St. Peter Street,,,,City Street,,No,None,,Unknown,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,No,None,No,,,,"(44.9479, -93.098518)",1,12,5
Pedestrian,Yes,05/18/2016 04:40:00 PM,16-097063,Western District,Lexington Pkwy & St. Clair,,,,County - State Aid Highway,,No,None,62,Female,St. Paul,55116,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,,,,"(44.934173, -93.146575)",1,8,5
Bike,Yes,05/20/2016 11:10:00 PM,16-098897,Eastern District,Minnehaha Ave E & Burr St,,,,City Street,,No,None,,,,,50,Male,St. Paul,55101,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,Yes,"(44.962954, -93.079755)",1,13,3
Pedestrian,Yes,05/21/2016 02:33:00 PM,16-099282,Central District,University Ave W & Marion St,,,,County - State Aid Highway,,Yes,Driver,53,Female,St. Paul,55117,,,,,59,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,,,,"(44.955712, -93.109407)",1,9,7
Bike2,,05/22/2016 05:26:00 PM,16-100189,,,,,,,,,,,,,,11,Male,St. Paul,55106,,,,,,,,Yes,Suspected Serious Injury,Yes,,1,,
Pedestrian,Yes,05/23/2016 08:12:00 AM,16-100495,Central District,Maryland Ave E & Greenbrier,,,,County - State Aid Highway,,No,None,34,Female,St. Paul,55106,,,,,26,Female,St. Paul,55106,Yes,FATAL,Yes,,,,"(44.977472, -93.071002)",1,13,1
Bike,Yes,05/23/2016 03:36:00 PM,16-100807,Western District,University Ave W & Victoria St,,,,County - State Aid Highway,,No,None,,,,,12,Male,St. Paul,55104,18,Male,Cottage Grove,55016,,,,Yes,Possible Injury,No,"(44.955649, -93.136481)",1,9,7
Bike,Yes,05/24/2016 11:37:00 AM,16-101415,Central District,Smith Ave N & Kellogg Blvd,,,,City Street,,No,None,,,,,33,Male,North St. Paul,55109,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,Yes,"(44.945339, -93.103917)",1,12,5
Pedestrian,Yes,05/29/2016 05:38:00 PM,16-105577,Central District,7th St W & McBoal St,,,,State - Trunk Highway,,No,None,,Unknown,Unknown,Unknown,,,,,58,Female,Minneapolis,55406,No,None,No,,,,"(44.93896, -93.1102)",1,11,5
Bike,Yes,06/06/2016 08:51:00 AM,16-111858,Western District,Summit Ave & St. Albans,,,,Municipal Aid Street,,Yes,Driver,,,,,41,Female,St. Paul,55107,57,Female,St. Paul,55102,,,,Yes,Suspected Minor Injury,Yes,"(44.941326, -93.128764)",1,8,5
Pedestrian,Yes,06/07/2016 01:38:00 PM,16-112848,Western District,1390 University Ave W,,,,County - State Aid Highway,,No,None,83,Female,Eagan,55121,,,,,,Male,Unknown,Unknown,Yes,Suspected Minor Injury,No,,,,"(44.953999, -93.157953)",1,17,7
Pedestrian,Yes,06/07/2016 04:08:00 PM,16-112941,Eastern District,Cayuga & Arkwright St,,,,Municipal Aid Street,,No,None,55,Female,Eagan,55122,,,,,41,Male,St. Paul,55130,Yes,FATAL,Yes,,,,"(44.964758, -93.084566)",1,13,3
Pedestrian,Yes,06/08/2016 07:00:00 AM,16-113396,Western District,Western Ave N & Selby Ave,,,,Municipal Aid Street,,Yes,Driver,51,Male,St. Paul,55117,,,,,62,Male,Stacy,55079,Yes,Suspected Minor Injury,No,,,,"(44.946554, -93.116107)",1,9,7
Bike,No,06/08/2016 02:10:00 PM,16-113678,Western District,415 Pascal Street,,,,City Street,,No,None,,,,,58,Male,Minneapolis,55404,,Unknown,Unknown,Unknown,,,,Yes,Suspected Serious Injury,Yes,"(44.953748, -93.162417)",1,17,7
Pedestrian,Yes,06/08/2016 02:31:00 PM,16-113689,Western District,Como Ave & Eustis St,,,,Municipal Aid Street,,Yes,Driver,78,Female,Shoreview,55126,,,,,45,Male,Minneapolis,55408,Yes,Suspected Minor Injury,Yes,,,,"(44.987532, -93.203457)",1,1,4
Pedestrian,Yes,06/09/2016 09:38:00 PM,16-114930,Eastern District,1806 Ivy Ave E,,,,City Street,,No,None,20,Male,St. Paul,55119,,,,,19,Female,St. Paul,55117,Yes,Suspected Minor Injury,Yes,,,,"(44.980963, -93.024131)",1,14,1
Pedestrian,Yes,06/10/2016 12:00:00 AM,16-115571,Western District,Hamline Ave S & Goodrich Ave,,,,Municipal Aid Street,,Yes,Driver,30,Female,St. Paul,55105,,,,,18,Male,Robbinsdale,55422,Yes,Suspected Minor Injury,No,,,,"(44.937909, -93.156832)",1,5,6
Pedestrian,Yes,06/10/2016 04:45:00 PM,16-115454,Eastern District,Payne Ave & 7th Street,,,,State - Trunk Highway,,Yes,Driver,56,Male,St. Paul,55101,,,,,29,Male,Maplewood,55119,Yes,Suspected Serious Injury,Yes,,,,"(44.955898, -93.078237)",1,13,2
Bike,Yes,06/11/2016 08:30:00 PM,16-116405,Western District,Dale St N & University Ave W,,,,County - State Aid Highway,,No,None,,,,,10,Male,St. Paul,55130,42,Female,St. Paul,55117,,,,Yes,Suspected Minor Injury,No,"(44.955649, -93.126216)",1,9,7
Bike,Yes,06/14/2016 03:00:00 PM,16-118379,Central District,5th St E & Cedar Street,,,,Municipal Aid Street,,No,None,,,,,34,Male,St. Paul,55101,51,Female,white bear lake,55110,,,,No,None,No,"(44.946264, -93.093203)",1,12,5
Pedestrian,Yes,06/14/2016 07:20:00 PM,16-118561,Eastern District,Case Ave & Cypress St,,,,Municipal Aid Street,,No,None,59,Male,St. Paul,55106,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Serious Injury,Yes,,,,"(44.970334, -93.058337)",1,13,1
Bike,Yes,06/15/2016 02:41:00 PM,16-119109,Eastern District,Arlington Ave E & Clarence St,,,,Municipal Aid Street,,No,None,,,,,20,Male,St. Paul,55119,,Unknown,Unknown,Unknown,,,,Yes,Possible Injury,No,"(44.984784, -93.043135)",1,14,1
Bike,No,06/15/2016 05:45:00 PM,16-119269,Western District,Marshall Ave & Cretin,,,,County - State Aid Highway,,No,None,,,,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.948367, -93.192427)",1,17,4
Pedestrian,Yes,06/15/2016 09:35:00 PM,16-119412,Eastern District,Suburban & Ruth,,,,Municipal Aid Street,,Yes,Driver,41,Female,St. Paul,55106,,,,,47,Female,Woodbury,55129,Yes,Suspected Minor Injury,No,,,,"(44.949526, -93.015115)",1,16,2
Pedestrian,Yes,06/17/2016 05:04:00 PM,16-120705,Western District,1357 Maynard Drive,,,,City Street,,No,None,3,Male,St. Paul,55116,,,,,29,Female,Bloomington,55425,Yes,Suspected Minor Injury,No,,,,"(44.900016, -93.169366)",1,6,6
Bike,Yes,06/22/2016 05:55:00 PM,16-124848,Western District,University Ave W & Fairview,,,,Municipal Aid Street,,Yes,Driver,,,,,64,Male,St. Paul,55104,42,Male,St. Paul,55104,,,,Yes,Suspected Minor Injury,No,"(44.955798, -93.177193)",1,17,4
Pedestrian,Yes,06/24/2016 03:38:00 PM,16-126400,Western District,Arundel Street & Emund Ave,,,,City Street,,No,None,12,Male,St. Paul,55101,,,,,59,Male,West St. Paul,55118,Yes,Suspected Minor Injury,Yes,,,,"(44.95846, -93.1187)",1,10,7
Bike,Yes,06/25/2016 08:49:00 AM,16-126999,Central District,Rice St & Maryland,,,,County - State Aid Highway,,Yes,Driver,,,,,14,Male,St. Paul,55117,45,Male,Maplewood,55117,,,,Yes,Suspected Minor Injury,No,"(44.977385, -93.105921)",1,3,3
Bike,Yes,06/25/2016 08:49:00 AM,16-126999,Central District,Maryland Ave W & Rice Street,,,,County - State Aid Highway,,Yes,Driver,,,,,14,Male,St. Paul,55117,45,Male,Maplewood,55117,,,,Yes,Suspected Minor Injury,No,"(44.977385, -93.105921)",1,3,3
Bike,Yes,06/27/2016 09:35:00 AM,16-128398,Central District,Robert St N & Kellogg Blvd E,,,,City Street,,No,None,,,,,42,Male,St. Paul,55101,,Unknown,Unknown,Unknown,,,,Yes,Possible Injury,No,"(44.945665, -93.089159)",1,12,5
Pedestrian,Yes,06/27/2016 01:56:00 PM,16-128578,Eastern District,White Bear Ave N & Minnehaha Ave E,,,,County - State Aid Highway,,No,None,15,Female,St. Paul,55106,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,,,,"(44.963083, -93.025319)",1,14,2
Pedestrian,Yes,06/27/2016 03:42:00 PM,16-128647,Western District,University Ave W & Lexington Pkwy,,,,County - State Aid Highway,,Yes,Driver,41,Female,St. Paul,55104,,,,,71,Female,St. Paul,55105,Yes,Possible Injury,No,,,,"(44.955656, -93.14655)",1,9,7
Bike,Yes,06/28/2016 09:16:00 PM,16-129750,Central District,Maryland Ave W & Dale St N,,,,County - State Aid Highway,,Yes,Driver,,,,,13,Male,St. Paul,55104,25,Male,St. Paul,55117,,,,Yes,Suspected Minor Injury,Yes,"(44.977362, -93.126354)",1,2,3
Bike,No,06/28/2016 11:13:00 PM,16-129846,Central District,Wabasha St S & Plato St,,,,City Street,,No,None,,,,,20,Male,North Branch,55056,25,Male,St. Paul,55107,,,,No,None,No,"(44.937374, -93.087776)",1,7,5
Bike,Yes,06/30/2016 12:39:00 PM,16-131034,Western District,616 Mississippi River Blvd S,,,,City Street,,No,None,,,,,14,Female,St. Paul,55105,51,Female,Shakopee,55379,,,,Yes,Suspected Minor Injury,Yes,"(44.922484, -93.196361)",1,6,6
Bike,Yes,06/30/2016 07:02:00 PM,16-131340,Western District,Marshall Ave & Syndicate St N,,,,County - State Aid Highway,,Yes,Biker,,,,,56,Male,St. Paul,55104,43,Female,St. Paul,55105,,,,Yes,Possible Injury,No,"(44.948526, -93.154264)",1,17,7
Bike,No,07/01/2016 01:03:00 AM,16-131602,Eastern District,Case Ave & Johnson Pkwy,,,,County - State Aid Highway,,No,None,,,,,54,Male,St. Paul,55106,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,No,"(44.968956, -93.044999)",1,15,1
Bike,Yes,07/01/2016 07:39:00 AM,16-131704,Central District,Arlington Ave E & Klainert St,,,,Municipal Aid Street,,Yes,Driver,,,,,52,Male,St. Paul,55130,38,Male,St. Paul,55103,,,,Yes,Possible Injury,No,"(44.984582, -93.09105)",1,3,3
Bike,No,07/01/2016 02:29:00 PM,16-131940,Western District,Victoria St N & Aurora,,,,Municipal Aid Street,,No,None,,,,,34,Male,Brooklyn Park,55428,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.954825, -93.136479)",1,9,7
Pedestrian,Yes,07/03/2016 10:49:00 AM,16-133598,Western District,Iglehart & Fisk,,,,City Street,,No,None,6,Male,White Bear Lake,55110,,,,,26,Male,Oakdale,55128,Yes,Suspected Serious Injury,Yes,,,,"(44.949587, -93.138254)",1,9,7
Pedestrian,Yes,07/03/2016 06:48:00 PM,16-133848,Central District,407 Front Ave,2,No,30,Municipal Aid Street,,No,None,8,Male,Maplewood,55119,,,,,19,Female,Minneapolis,55418,Yes,Suspected Serious Injury,Yes,,,,"(44.970328, -93.11732)",1,3,3
Bike,Yes,07/03/2016 11:29:00 PM,16-134086,Central District,754 Rice Street,Sidewalk,No,10,Private Parking Lot,,No,None,,,,,17,Male,St. Paul,55103,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.964041, -93.105787)",1,3,7
Pedestrian,Yes,07/05/2016 06:09:00 PM,16-135742,Eastern District,7th St E & Maria,4,Yes,30,State - Trunk Highway,,Yes,Driver,59,Female,St. Paul,55107,,,,,36,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,,,,"(44.95808, -93.073781)",1,15,2
Pedestrian,Yes,07/09/2016 10:06:00 PM,16-138635,Central District,7th St W & Chestnut St,4,Yes,30,State - Trunk Highway,,Yes,Pedestrian,49,Male,St. Paul,55106,,,,,25,Male,St. Paul,55113,Yes,Suspected Serious Injury,Yes,,,,"(44.943409, -93.104089)",1,11,5
Pedestrian,Yes,07/11/2016 12:31:00 PM,16-139346,Eastern District,Edgerton St & Maryland Ave,4,Yes,30,County - State Aid Highway,,No,None,13,Female,St. Paul,55106,,,,,54,Male,New Germany,55367,Yes,Possible Injury,No,,,,"(44.977422, -93.076079)",1,13,1
Bike,No,07/12/2016 10:16:00 AM,16-139898,Western District,Hamline Ave N & Marshall Ave,4,No,30,City Street,,No,None,,,,,37,Female,St. Paul,55105,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,Yes,"(44.94852, -93.156801)",1,17,7
Bike,No,07/12/2016 12:21:00 PM,16-140030,Central District,429 Bay Street,2,No,30,City Street,,No,None,,,,,,Female,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.928379, -93.130843)",1,11,5
Pedestrian,Yes,07/12/2016 06:13:00 PM,16-140096,Western District,1416 Lexington Pkwy,2,No,30,County - State Aid Highway,,No,None,78,Female,St. Paul,55106,,,,,40,Female,St. Paul,55117,Yes,Possible Injury,Yes,,,,"(44.983811, -93.143657)",1,2,4
Bike,Yes,07/12/2016 06:30:00 PM,16-140106,Western District,2061 Shepard Rd,Private,No,10,Private Parking Lot,,No,None,,,,,13,Male,St. Paul,55116,53,Female,St. Paul,55116,,,,Yes,Suspected Minor Injury,Yes,"(44.905183, -93.154714)",1,6,6
Bike,No,07/12/2016 09:05:00 PM,16-140190,Western District,Grand Ave & Grotto,3,No,30,City Street,,No,None,,,,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.93994, -93.131311)",1,8,5
Bike,No,07/13/2016 09:49:00 PM,16-140829,Eastern District,Lawson Ave E & Edgerton St,2,No,30,County - State Aid Highway,,No,None,,,,,40,Female,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.972023, -93.076081)",1,13,1
Bike,No,07/14/2016 02:40:00 PM,16-141420,Eastern District,7th St E & Johnson Pkwy,3,Yes,30,County - State Aid Highway,,No,None,,,,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.966713, -93.045003)",1,15,1
Pedestrian,Yes,07/14/2016 07:00:00 PM,16-141305,Western District,Thomas Ave W & Grotto Street,2,No,30,City Street,,No,None,9,Male,St. Paul,55102,,,,,50,Female,St. Paul,55104,Yes,Suspected Minor Injury,No,,,,"(44.959344, -93.131431)",1,10,7
Bike,Yes,07/18/2016 03:16:00 PM,16-143657,Central District,Wabasha St N & 5th Street,3,Yes,30,City Street,,No,None,,,,,17,Male,St. Paul,55119,28,Female,Fridley,55432,,,,Yes,Suspected Minor Injury,Yes,"(44.945691, -93.094454)",1,12,5
Bike,Yes,07/18/2016 07:40:00 PM,16-143808,Eastern District,I35E Fwy & Maryland Ave,6,Yes,30,County - State Aid Highway,,Yes,Driver,,,,,17,Male,St. Paul,55104,46,Male,Roseville,55113,,,,Yes,Suspected Minor Injury,Yes,"(44.977046, -93.088764)",1,3,3
Bike,Yes,07/20/2016 11:43:00 AM,16-144746,Central District,7th St W & St. Clair,3,Yes,30,State - Trunk Highway,,No,None,,,,,16,Male,St. Paul,55102,62,Male,Inver Grove Heights,55076,,,,Yes,Suspected Minor Injury,No,"(44.934116, -93.117348)",1,11,5
Bike,Yes,07/20/2016 12:45:00 PM,16-144777,Western District,Lexington Pkwy N & St Anthony,4,Yes,30,County - State Aid Highway,,Yes,Driver,,,,,54,Male,Minneapolis,55405,25,Female,Apple Valley,55124,,,,Yes,Suspected Minor Injury,Yes,"(44.951615, -93.146753)",1,17,7
Pedestrian,No,07/20/2016 02:37:00 PM,16-144854,Central District,Rice St & Arlington Ave W,2,Yes,30,City Street,,No,None,,Unknown,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,,"(44.984586, -93.105864)",1,3,3
Bike,Yes,07/20/2016 09:25:00 PM,16-145098,Western District,Marshall Ave & Otis Street,5,Yes,30,County - State Aid Highway,,No,None,,,,,26,Male,Minneapolis,55418,,Unknown,Unknown,Unknown,,,,No,None,No,"(44.948377, -93.197866)",1,17,4
